IATA3,Name,City,Country,Elevation,Latitude,Longitude
YAY,St. Anthony Airport,St. Anthony,Canada,108,51.3918991089,-56.083099365200006
YAZ,Tofino / Long Beach Airport,Tofino,Canada,80,49.079833,-125.775583
YBB,Kugaaruk Airport,Pelly Bay,Canada,56,68.534401,-89.808098
YBC,Baie Comeau Airport,Baie Comeau,Canada,71,49.13249969482422,-68.20439910888672
YBG,CFB Bagotville,Bagotville,Canada,522,48.33060073852539,-70.99639892578125
YBK,Baker Lake Airport,Baker Lake,Canada,59,64.29889678960001,-96.077796936
YBL,Campbell River Airport,Campbell River,Canada,346,49.950801849365234,-125.27100372314453
YBR,Brandon Municipal Airport,Brandon,Canada,1343,49.91,-99.951897
YCB,Cambridge Bay Airport,Cambridge Bay,Canada,90,69.1081008911,-105.138000488
YCD,Nanaimo Airport,Nanaimo,Canada,92,49.054970224899996,-123.869862556
YCG,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,1624,49.2963981628,-117.632003784
YCH,Miramichi Airport,Chatham,Canada,108,47.007801,-65.449203
YCL,Charlo Airport,Charlo,Canada,132,47.990799,-66.330299
YCO,Kugluktuk Airport,Coppermine,Canada,74,67.81670379639999,-115.143997192
YCT,Coronation Airport,Coronation,Canada,2595,52.0750007629,-111.444999695
YCW,Chilliwack Airport,Chilliwack,Canada,32,49.1528015137,-121.939002991
YCY,Clyde River Airport,Clyde River,Canada,87,70.4860992432,-68.5167007446
YZS,Coral Harbour Airport,Coral Harbour,Canada,210,64.1932983398,-83.3593978882
YDA,Dawson City Airport,Dawson,Canada,1215,64.04309844970703,-139.1280059814453
YDB,Burwash Airport,Burwash,Canada,2647,61.37110137939453,-139.04100036621094
YDC,Princeton Airport,Princeton,Canada,2298,49.4681015015,-120.511001587
YDF,Deer Lake Airport,Deer Lake,Canada,72,49.21080017089844,-57.39139938354492
YDL,Dease Lake Airport,Dease Lake,Canada,2600,58.4221992493,-130.031997681
YDN,Dauphin Barker Airport,Dauphin,Canada,999,51.100799560546875,-100.052001953125
YDQ,Dawson Creek Airport,Dawson Creek,Canada,2148,55.7422981262207,-120.18299865722656
YEG,Edmonton International Airport,Edmonton,Canada,2373,53.309700012200004,-113.580001831
YEK,Arviat Airport,Eskimo Point,Canada,32,61.0942001343,-94.07080078119999
YEN,Estevan Airport,Estevan,Canada,1905,49.2103004456,-102.966003418
YET,Edson Airport,Edson,Canada,3043,53.578899383499994,-116.464996338
YEU,Eureka Airport,Eureka,Canada,256,79.9946975708,-85.814201355
YEV,Inuvik Mike Zubko Airport,Inuvik,Canada,224,68.30419921880001,-133.483001709
YFB,Iqaluit Airport,Iqaluit,Canada,110,63.756401062,-68.5558013916
YFC,Fredericton Airport,Fredericton,Canada,68,45.868900299072266,-66.53720092773438
YFO,Flin Flon Airport,Flin Flon,Canada,997,54.6781005859375,-101.68199920654297
YFR,Fort Resolution Airport,Fort Resolution,Canada,526,61.1808013916,-113.690002441
YFS,Fort Simpson Airport,Fort Simpson,Canada,555,61.76020050048828,-121.23699951171875
YGK,Kingston Norman Rogers Airport,Kingston,Canada,305,44.22529983520508,-76.5969009399414
YGL,La Grande Rivière Airport,La Grande Riviere,Canada,639,53.625301361083984,-77.7042007446289
YGP,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,112,48.7752990723,-64.4785995483
YGQ,Geraldton Greenstone Regional Airport,Geraldton,Canada,1144,49.77830123901367,-86.93939971923828
YGR,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,35,47.42470169067383,-61.778099060058594
YHB,Hudson Bay Airport,Hudson Bay,Canada,1175,52.8166999817,-102.310997009
YHD,Dryden Regional Airport,Dryden,Canada,1354,49.83169937133789,-92.74420166015625
YHI,Ulukhaktok Holman Airport,Holman Island,Canada,117,70.76280212402344,-117.80599975585938
YHK,Gjoa Haven Airport,Gjoa Haven,Canada,152,68.635597229,-95.84970092770001
YHM,John C. Munro Hamilton International Airport,Hamilton,Canada,780,43.173599243199995,-79.93499755859999
YHU,Montréal / Saint-Hubert Airport,Montreal,Canada,90,45.5175018311,-73.4169006348
YHY,Hay River / Merlyn Carter Airport,Hay River,Canada,541,60.8396987915,-115.782997131
YHZ,Halifax / Stanfield International Airport,Halifax,Canada,477,44.8807983398,-63.5085983276
YIB,Atikokan Municipal Airport,Atikokan,Canada,1408,48.7738990784,-91.6386032104
YIO,Pond Inlet Airport,Pond Inlet,Canada,181,72.6832962036,-77.9666976929
YJN,St Jean Airport,St. Jean,Canada,136,45.29439926147461,-73.28109741210938
YJT,Stephenville Airport,Stephenville,Canada,84,48.5442008972168,-58.54999923706055
YKA,Kamloops Airport,Kamloops,Canada,1133,50.7022018433,-120.444000244
YKF,Waterloo Airport,Waterloo,Canada,1055,43.460800170899994,-80.3786010742
YKL,Schefferville Airport,Schefferville,Canada,1709,54.805301666259766,-66.8052978515625
YKY,Kindersley Airport,Kindersley,Canada,2277,51.5175018311,-109.180999756
YKZ,Buttonville Municipal Airport,Toronto,Canada,650,43.86220169067383,-79.37000274658203
YLD,Chapleau Airport,Chapleau,Canada,1470,47.81999969482422,-83.3467025756836
YLJ,Meadow Lake Airport,Meadow Lake,Canada,1576,54.125301361083984,-108.52300262451172
YLL,Lloydminster Airport,Lloydminster,Canada,2193,53.309200286865234,-110.072998046875
YLT,Alert Airport,Alert,Canada,100,82.51779937740001,-62.2806015015
YLW,Kelowna International Airport,Kelowna,Canada,1421,49.9561004639,-119.377998352
YMA,Mayo Airport,Mayo,Canada,1653,63.61640167236328,-135.8679962158203
YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,1892,50.330299377441406,-105.55899810791016
YMM,Fort McMurray Airport,Fort Mcmurray,Canada,1211,56.653301239,-111.222000122
YMO,Moosonee Airport,Moosonee,Canada,30,51.291099548339844,-80.60780334472656
YMW,Maniwaki Airport,Maniwaki,Canada,656,46.2728004456,-75.9906005859
YMX,Montreal International (Mirabel) Airport,Montreal,Canada,270,45.6795005798,-74.0386962891
YNA,Natashquan Airport,Natashquan,Canada,39,50.189998626708984,-61.78919982910156
YND,Ottawa / Gatineau Airport,Gatineau,Canada,211,45.521701812699995,-75.5635986328
YNM,Matagami Airport,Matagami,Canada,918,49.76169967651367,-77.80280303955078
YOC,Old Crow Airport,Old Crow,Canada,824,67.57060241699219,-139.83900451660156
YOD,CFB Cold Lake,Cold Lake,Canada,1775,54.404998779296875,-110.27899932861328
YOJ,High Level Airport,High Level,Canada,1110,58.62139892578125,-117.16500091552734
YOW,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,374,45.3224983215332,-75.66919708251953
YPA,Prince Albert Glass Field,Prince Albert,Canada,1405,53.214199066199996,-105.672996521
YPE,Peace River Airport,Peace River,Canada,1873,56.226898193359375,-117.4469985961914
YPG,Southport Airport,Portage-la-prairie,Canada,885,49.903099,-98.273817
YPL,Pickle Lake Airport,Pickle Lake,Canada,1267,51.4463996887207,-90.21420288085938
YPN,Port Menier Airport,Port Menier,Canada,167,49.83639907836914,-64.2885971069336
YPQ,Peterborough Airport,Peterborough,Canada,628,44.22999954223633,-78.36329650878906
YPR,Prince Rupert Airport,Prince Pupert,Canada,116,54.286098480199996,-130.445007324
YPY,Fort Chipewyan Airport,Fort Chipewyan,Canada,761,58.7672004699707,-111.11699676513672
YQA,Muskoka Airport,Muskoka,Canada,925,44.974700927734375,-79.30329895019531
YQB,Quebec Jean Lesage International Airport,Quebec,Canada,244,46.7911,-71.393303
YQF,Red Deer Regional Airport,Red Deer Industrial,Canada,2968,52.18220138549805,-113.89399719238281
YQG,Windsor Airport,Windsor,Canada,622,42.27560043334961,-82.95559692382812
YQH,Watson Lake Airport,Watson Lake,Canada,2255,60.11640167236328,-128.82200622558594
YQK,Kenora Airport,Kenora,Canada,1332,49.788299560546875,-94.36309814453125
YQL,Lethbridge County Airport,Lethbridge,Canada,3048,49.6302986145,-112.800003052
YQM,Greater Moncton International Airport,Moncton,Canada,232,46.11220169067383,-64.67859649658203
YQQ,Comox Airport,Comox,Canada,84,49.71080017089844,-124.88700103759766
YQR,Regina International Airport,Regina,Canada,1894,50.43190002441406,-104.66600036621094
YQT,Thunder Bay Airport,Thunder Bay,Canada,653,48.37189865112305,-89.32389831542969
YQU,Grande Prairie Airport,Grande Prairie,Canada,2195,55.1796989441,-118.885002136
YQV,Yorkton Municipal Airport,Yorkton,Canada,1635,51.26470184326172,-102.46199798583984
YQW,North Battleford Airport,North Battleford,Canada,1799,52.76919937133789,-108.24400329589844
YQX,Gander International Airport,Gander,Canada,496,48.9369010925293,-54.56809997558594
YQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,203,46.161399841299996,-60.0477981567
YQZ,Quesnel Airport,Quesnel,Canada,1789,53.026100158691406,-122.51000213623047
YRB,Resolute Bay Airport,Resolute,Canada,215,74.7169036865,-94.9693984985
YRI,Rivière-du-Loup Airport,Riviere Du Loup,Canada,427,47.764400482177734,-69.58470153808594
YRJ,Roberval Airport,Roberval,Canada,586,48.52000045776367,-72.2656021118164
YRM,Rocky Mountain House Airport,Rocky Mountain House,Canada,3244,52.4296989441,-114.903999329
YRT,Rankin Inlet Airport,Rankin Inlet,Canada,94,62.8114013672,-92.1157989502
YSB,Sudbury Airport,Sudbury,Canada,1141,46.625,-80.79889678955078
YSC,Sherbrooke Airport,Sherbrooke,Canada,792,45.4385986328125,-71.69139862060547
YSJ,Saint John Airport,St. John,Canada,357,45.31610107421875,-65.89029693603516
YSM,Fort Smith Airport,Fort Smith,Canada,671,60.020301818847656,-111.96199798583984
YSR,Nanisivik Airport,Nanisivik,Canada,2106,72.982201,-84.613602
YSU,Summerside Airport,Summerside,Canada,56,46.44060134887695,-63.83359909057617
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,282,71.9938964844,-125.242996216
YTE,Cape Dorset Airport,Cape Dorset,Canada,164,64.2300033569,-76.5267028809
YTH,Thompson Airport,Thompson,Canada,729,55.80110168457031,-97.86419677734375
YTR,CFB Trenton,Trenton,Canada,283,44.118900299072266,-77.5280990600586
YTS,Timmins/Victor M. Power,Timmins,Canada,967,48.569698333699996,-81.376701355
YTZ,Billy Bishop Toronto City Centre Airport,Toronto,Canada,252,43.627499,-79.396202
YUB,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,15,69.43329620361328,-133.0260009765625
YUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,118,45.4706001282,-73.7407989502
YUT,Repulse Bay Airport,Repulse Bay,Canada,80,66.5214004517,-86.22470092770001
YUX,Hall Beach Airport,Hall Beach,Canada,30,68.77610015869999,-81.2425
YUY,Rouyn Noranda Airport,Rouyn,Canada,988,48.20610046386719,-78.83560180664062
YVC,La Ronge Airport,La Ronge,Canada,1242,55.151401519800004,-105.262001038
YVG,Vermilion Airport,Vermillion,Canada,2025,53.355800628699996,-110.823997498
YVM,Qikiqtarjuaq Airport,Broughton Island,Canada,21,67.5457992554,-64.03140258789999
YVO,Val-d'Or Airport,Val D'or,Canada,1107,48.0532989502,-77.7827987671
YVP,Kuujjuaq Airport,Quujjuaq,Canada,129,58.096099853515625,-68.4269027709961
YVQ,Norman Wells Airport,Norman Wells,Canada,238,65.28160095214844,-126.7979965209961
YVR,Vancouver International Airport,Vancouver,Canada,14,49.193901062,-123.183998108
YVT,Buffalo Narrows Airport,Buffalo Narrows,Canada,1423,55.8418998718,-108.417999268
YVV,Wiarton Airport,Wiarton,Canada,729,44.7458,-81.107201
YWA,Petawawa Airport,Petawawa,Canada,427,45.95220184326172,-77.31919860839844
YWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,783,49.909999847399995,-97.2398986816
YWK,Wabush Airport,Wabush,Canada,1808,52.92190170288086,-66.8644027709961
YWL,Williams Lake Airport,Williams Lake,Canada,3085,52.1831016541,-122.054000854
YWY,Wrigley Airport,Wrigley,Canada,489,63.20940017700195,-123.43699645996094
YXC,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,3082,49.610801696777,-115.78199768066
YXD,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,2202,53.5724983215,-113.521003723
YXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,1653,52.170799255371094,-106.69999694824219
YXH,Medicine Hat Airport,Medicine Hat,Canada,2352,50.01890182495117,-110.72100067138672
YXJ,Fort St John Airport,Fort Saint John,Canada,2280,56.23809814453125,-120.73999786376953
YXL,Sioux Lookout Airport,Sioux Lookout,Canada,1258,50.11389923095703,-91.9052963256836
YXP,Pangnirtung Airport,Pangnirtung,Canada,75,66.1449966431,-65.71360015869999
YXR,Earlton (Timiskaming Regional) Airport,Earlton,Canada,800,47.697400654599996,-79.8473453522
YXS,Prince George Airport,Prince George,Canada,2267,53.8894004822,-122.679000854
YXT,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,713,54.468498,-128.576009
YXU,London Airport,London,Canada,912,43.035599,-81.1539
YXX,Abbotsford Airport,Abbotsford,Canada,195,49.025299072265625,-122.36100006103516
YXY,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,2317,60.7095985413,-135.067001343
YYB,North Bay Airport,North Bay,Canada,1215,46.36360168457031,-79.42279815673828
YYC,Calgary International Airport,Calgary,Canada,3557,51.113899231,-114.019996643
YYD,Smithers Airport,Smithers,Canada,1712,54.82469940185547,-127.18299865722656
YYE,Fort Nelson Airport,Fort Nelson,Canada,1253,58.8363990784,-122.597000122
YYF,Penticton Airport,Penticton,Canada,1129,49.46310043334961,-119.60199737548828
YYG,Charlottetown Airport,Charlottetown,Canada,160,46.290000915527344,-63.12110137939453
YYH,Taloyoak Airport,Spence Bay,Canada,92,69.5466995239,-93.5766983032
YYJ,Victoria International Airport,Victoria,Canada,63,48.646900177,-123.426002502
YYL,Lynn Lake Airport,Lynn Lake,Canada,1170,56.86389923095703,-101.07599639892578
YYN,Swift Current Airport,Swift Current,Canada,2680,50.291900634799994,-107.691001892
YYQ,Churchill Airport,Churchill,Canada,94,58.739200592041016,-94.06500244140625
YYR,Goose Bay Airport,Goose Bay,Canada,160,53.3191986084,-60.4258003235
YYT,St. John's International Airport,St. John's,Canada,461,47.618598938,-52.7518997192
YYU,Kapuskasing Airport,Kapuskasing,Canada,743,49.41389846801758,-82.46749877929688
YYW,Armstrong Airport,Armstrong,Canada,1058,50.29029846191406,-88.90969848632812
YYY,Mont Joli Airport,Mont Joli,Canada,172,48.60860061645508,-68.20809936523438
YYZ,Lester B. Pearson International Airport,Toronto,Canada,569,43.6772003174,-79.63059997559999
YZD,Downsview Airport,Toronto,Canada,652,43.74250030517578,-79.4655990600586
YZE,Gore Bay Manitoulin Airport,Gore Bay,Canada,635,45.88529968261719,-82.56780242919922
YZF,Yellowknife Airport,Yellowknife,Canada,675,62.462799072265625,-114.44000244140625
YZH,Slave Lake Airport,Slave Lake,Canada,1912,55.2930984497,-114.777000427
YZP,Sandspit Airport,Sandspit,Canada,21,53.25429916379999,-131.813995361
YZR,Chris Hadfield Airport,Sarnia,Canada,594,42.9994010925293,-82.30889892578125
YZT,Port Hardy Airport,Port Hardy,Canada,71,50.680599212646484,-127.36699676513672
YZU,Whitecourt Airport,Whitecourt,Canada,2567,54.14390182495117,-115.78700256347656
YZV,Sept-Îles Airport,Sept-iles,Canada,180,50.22330093383789,-66.2656021118164
YZW,Teslin Airport,Teslin,Canada,2313,60.17279815673828,-132.7429962158203
YZX,CFB Greenwood,Greenwood,Canada,92,44.98440170288086,-64.91690063476562
ZFA,Faro Airport,Faro,Canada,2351,62.20750045776367,-133.37600708007812
ZFM,Fort Mcpherson Airport,Fort Mcpherson,Canada,116,67.40750122070312,-134.86099243164062
BJA,Soummam Airport,Bejaja,Algeria,20,36.7120018005,5.0699200630200005
ALG,Houari Boumediene Airport,Algier,Algeria,82,36.691001892089844,3.215409994125366
DJG,Djanet Inedbirene Airport,Djanet,Algeria,3176,24.292800903299998,9.45244026184
QFD,Boufarik Airport,Boufarik,Algeria,335,36.545799,2.87611
VVZ,Illizi Takhamalt Airport,Illizi,Algeria,1778,26.7234992981,8.62265014648
TMR,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,4518,22.8115005493,5.45107984543
GJL,Jijel Ferhat Abbas Airport,Jijel,Algeria,36,36.7951011658,5.87361001968
AAE,Annaba Airport,Annaba,Algeria,16,36.822200775146484,7.809169769287109
CZL,Mohamed Boudiaf International Airport,Constantine,Algeria,2265,36.2760009765625,6.620389938354492
TEE,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,2661,35.4315986633,8.12071990967
HRM,Hassi R'Mel Airport,Tilrempt,Algeria,2540,32.93040084838867,3.311539888381958
TID,Bou Chekif Airport,Tiaret,Algeria,3245,35.3410987854,1.46315002441
TIN,Tindouf Airport,Tindouf,Algeria,1453,27.7003993988,-8.167099952700001
QAS,Ech Cheliff Airport,Ech-cheliff,Algeria,463,36.2126998901,1.33176994324
TAF,Tafaraoui Airport,Oran,Algeria,367,35.54240036010742,-0.5322780013084412
TLM,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,814,35.0167007446,-1.45000004768
ORN,Es Senia Airport,Oran,Algeria,295,35.6239013672,-0.6211829781529999
MUW,Ghriss Airport,Ghriss,Algeria,1686,35.207698822021484,0.14714199304580688
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,919,27.837600708007812,-0.18641400337219238
BSK,Biskra Airport,Biskra,Algeria,289,34.793300628699996,5.73823022842
ELG,El Golea Airport,El Golea,Algeria,1306,30.571300506591797,2.8595900535583496
GHA,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,1512,32.38410186767578,3.794110059738159
HME,Oued Irara Airport,Hassi Messaoud,Algeria,463,31.673000335699996,6.140439987180001
INZ,In Salah Airport,In Salah,Algeria,896,27.250999450699997,2.51202011108
TGR,Touggourt Sidi Madhi Airport,Touggourt,Algeria,279,33.06779861450195,6.088669776916504
LOO,Laghouat Airport,Laghouat,Algeria,2510,33.764400482199996,2.92833995819
TMX,Timimoun Airport,Timimoun,Algeria,1027,29.2371006012,0.276033014059
OGX,Ain el Beida Airport,Ouargla,Algeria,492,31.917200088500977,5.412779808044434
IAM,In Aménas Airport,Zarzaitine,Algeria,1847,28.0515003204,9.64291000366
COO,Cadjehoun Airport,Cotonou,Benin,19,6.357230186462402,2.384350061416626
OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,1037,12.35319995880127,-1.5124200582504272
BOY,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,1511,11.160099983215332,-4.33096981048584
ACC,Kotoka International Airport,Accra,Ghana,205,5.605189800262451,-0.16678600013256073
TML,Tamale Airport,Tamale,Ghana,553,9.55718994140625,-0.8632140159606934
NYI,Sunyani Airport,Sunyani,Ghana,1014,7.361830234527588,-2.3287599086761475
TKD,Takoradi Airport,Takoradi,Ghana,21,4.896059989929199,-1.7747600078582764
ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,21,5.261390209197998,-3.9262900352478027
BYK,Bouaké Airport,Bouake,Cote d'Ivoire,1230,7.738800048828125,-5.073669910430908
DJO,Daloa Airport,Daloa,Cote d'Ivoire,823,6.792809963226318,-6.473189830780029
HGO,Korhogo Airport,Korhogo,Cote d'Ivoire,1214,9.38718032837,-5.55666017532
MJC,Man Airport,Man,Cote d'Ivoire,1089,7.272069931030273,-7.58735990524292
SPY,San Pedro Airport,San Pedro,Cote d'Ivoire,26,4.746719837188721,-6.660820007324219
ASK,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,699,6.9031701088,-5.36558008194
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,1123,9.006790161132812,7.263169765472412
AKR,Akure Airport,Akure,Nigeria,1100,7.246739864349365,5.3010101318359375
BNI,Benin Airport,Benin,Nigeria,258,6.316979885101318,5.5995001792907715
CBQ,Margaret Ekpo International Airport,Calabar,Nigeria,210,4.976019859313965,8.347200393676758
ENU,Akanu Ibiam International Airport,Enugu,Nigeria,466,6.474269866943359,7.561960220336914
QUS,Gusau Airport,Gusau,Nigeria,1520,12.171699523925781,6.696109771728516
IBA,Ibadan Airport,Ibadan,Nigeria,725,7.362460136413574,3.97832989692688
ILR,Ilorin International Airport,Ilorin,Nigeria,1126,8.440210342407227,4.493919849395752
JOS,Yakubu Gowon Airport,Jos,Nigeria,4232,9.639829635620117,8.869050025939941
KAD,Kaduna Airport,Kaduna,Nigeria,2073,10.696000099182129,7.320109844207764
KAN,Mallam Aminu International Airport,Kano,Nigeria,1562,12.047599792480469,8.524620056152344
MIU,Maiduguri International Airport,Maiduguri,Nigeria,1099,11.855299949645996,13.080900192260742
MDI,Makurdi Airport,Makurdi,Nigeria,371,7.7038798332214355,8.613940238952637
LOS,Murtala Muhammed International Airport,Lagos,Nigeria,135,6.5773701667785645,3.321160078048706
MXJ,Minna Airport,Minna,Nigeria,834,9.652170181274414,6.462259769439697
PHC,Port Harcourt International Airport,Port Hartcourt,Nigeria,87,5.0154900550842285,6.94959020614624
SKO,Sadiq Abubakar III International Airport,Sokoto,Nigeria,1010,12.916299819946289,5.207190036773682
YOL,Yola Airport,Yola,Nigeria,599,9.257550239562988,12.430399894714355
ZAR,Zaria Airport,Zaria,Nigeria,2170,11.130200386047363,7.685810089111328
MFQ,Maradi Airport,Maradi,Niger,1240,13.5024995803833,7.1267499923706055
NIM,Diori Hamani International Airport,Niamey,Niger,732,13.481499671936035,2.183609962463379
THZ,Tahoua Airport,Tahoua,Niger,1266,14.875699996948242,5.265359878540039
AJY,Mano Dayak International Airport,Agadez,Niger,1657,16.965999603271484,8.000109672546387
ZND,Zinder Airport,Zinder,Niger,1516,13.779000282287598,8.983759880065918
MIR,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,9,35.75809860229492,10.75469970703125
TUN,Tunis Carthage International Airport,Tunis,Tunisia,22,36.85100173950195,10.22719955444336
GAF,Gafsa Ksar International Airport,Gafsa,Tunisia,1060,34.422000885009766,8.822500228881836
GAE,Gabès Matmata International Airport,Gabes,Tunisia,26,33.87689971923828,10.103300094604492
DJE,Djerba Zarzis International Airport,Djerba,Tunisia,19,33.875,10.775500297546387
EBM,El Borma Airport,El Borma,Tunisia,827,31.704299926757812,9.254619598388672
SFA,Sfax Thyna International Airport,Sfax,Tunisia,85,34.71799850463867,10.690999984741211
TOE,Tozeur Nefta International Airport,Tozeur,Tunisia,287,33.939701080322266,8.110560417175293
LRL,Niamtougou International Airport,Niatougou,Togo,1515,9.767330169677734,1.091249942779541
LFW,Lomé-Tokoin Airport,Lome,Togo,72,6.165609836578369,1.2545100450515747
ANR,Antwerp International Airport (Deurne),Antwerp,Belgium,39,51.1893997192,4.46027994156
BRU,Brussels Airport,Brussels,Belgium,184,50.901401519800004,4.48443984985
CRL,Brussels South Charleroi Airport,Charleroi,Belgium,614,50.459201812699995,4.45382022858
QKT,Wevelgem Airport,Kortrijk-vevelgem,Belgium,64,50.817199707,3.20472002029
LGG,Liège Airport,Liege,Belgium,659,50.63740158081055,5.443220138549805
OST,Ostend-Bruges International Airport,Ostend,Belgium,13,51.198898315399994,2.8622200489
AOC,Altenburg-Nobitz Airport,Altenburg,Germany,640,50.9819450378418,12.506388664245605
BBH,Barth Airport,Barth,Germany,23,54.338253,12.710515
SXF,Berlin-Schönefeld International Airport,Berlin,Germany,157,52.380001068115,13.522500038147
DRS,Dresden Airport,Dresden,Germany,755,51.1328010559082,13.767200469970703
ERF,Erfurt Airport,Erfurt,Germany,1036,50.979801177978516,10.958100318908691
FRA,Frankfurt am Main International Airport,Frankfurt,Germany,364,50.0333333,8.5705556
FMO,Münster Osnabrück Airport,Munster,Germany,160,52.134601593,7.68483018875
HAM,Hamburg Airport,Hamburg,Germany,53,53.630401611328,9.9882297515869
THF,Berlin-Tempelhof International Airport,Berlin,Germany,167,52.472999572753906,13.403900146484375
CGN,Cologne Bonn Airport,Cologne,Germany,302,50.8658981323,7.1427397728
DUS,Düsseldorf International Airport,Duesseldorf,Germany,147,51.28950119018555,6.766779899597168
MUC,Munich International Airport,Munich,Germany,1487,48.353801727295,11.786100387573
NUE,Nuremberg Airport,Nuernberg,Germany,1046,49.498699,11.0780556
LEJ,Leipzig Halle Airport,Leipzig,Germany,465,51.4238889,12.2363889
SCN,Saarbrücken Airport,Saarbruecken,Germany,1058,49.214599609400004,7.10950994492
STR,Stuttgart Airport,Stuttgart,Germany,1276,48.689899444599995,9.22196006775
TXL,Berlin-Tegel International Airport,Berlin,Germany,122,52.5597000122,13.2876996994
HAJ,Hannover Airport,Hannover,Germany,183,52.461101532,9.685079574580001
BRE,Bremen Airport,Bremen,Germany,14,53.0475006104,8.78666973114
QEF,Frankfurt-Egelsbach Airport,Egelsbach,Germany,384,49.959999084472656,8.645833015441895
HHN,Frankfurt-Hahn Airport,Hahn,Germany,1649,49.948699951200005,7.263889789579999
MHG,Mannheim-City Airport,Mannheim,Germany,308,49.47305679321289,8.514166831970215
XFW,Hamburg-Finkenwerder Airport,Hamburg,Germany,23,53.5352783203125,9.835556030273438
KEL,Kiel-Holtenau Airport,Kiel,Germany,102,54.37944412231445,10.145277976989746
LBC,Lübeck Blankensee Airport,Luebeck,Germany,53,53.8054008484,10.7192001343
ZCA,Arnsberg-Menden Airport,Arnsberg,Germany,794,51.483890533447266,7.8983330726623535
ESS,Essen Mulheim Airport,Essen,Germany,424,51.40230178833008,6.9373297691345215
MGL,Mönchengladbach Airport,Moenchengladbach,Germany,125,51.23027801513672,6.504444122314453
